Property,Title,Description,State,Closed At,Created At,Updated At,Assignees,Creator,Issue Number,Related Github Assignees,Related Github Creator
,Nested Condition Pages,"When a page has a condition and another Page has a condition which points to an answer from the first condition page and you then uncheck the answer which the first condition page points to, then the second condition page is still visible. Solution: If a condition page disappears, the values should be resetted.",https://www.notion.so/Closed-de80dfa5f8ba4c37b5b76ce1ca1c3f03,"March 5, 2023 2:32 PM (UTC)","January 23, 2023 6:08 PM (UTC)","March 5, 2023 2:32 PM (UTC)",,,1,,https://www.notion.so/AlphaSoundZ-5610e7b03a5a4d93aaa8379b340227bf
,"""Weiter"" button does not disappear in specific case","When going from pre-sumbit page to previous page and the condition of the first previous page is not met, then the ""Weiter"" button does not disappear.",https://www.notion.so/Closed-de80dfa5f8ba4c37b5b76ce1ca1c3f03,"January 28, 2023 11:46 AM (UTC)","January 28, 2023 11:21 AM (UTC)","January 28, 2023 11:46 AM (UTC)",,,2,,https://www.notion.so/AlphaSoundZ-5610e7b03a5a4d93aaa8379b340227bf
